Order id,Customer name,Customer id,Product name,Product cost
192837,Partha,8,Apple iPad 10.2-inch,59000
192838,Vinay,10,Flatscreen TV,65999
192839,Lavanya,16,20in Monitor,75000
192840,Mohan,24,Bose SoundSport Headphones,55000
192841,Kedar,2,Google Phone,59000
192842,Karteek,4,LG Washing Machine,75000
192843,Harsha,5,iPhone 11,55999
192844,Pradhan,17,Macbook Pro Laptop,75999
192845,Balaji,12,Macbook Pro Laptop,75000
192846,Pradhan,17,27in 4K Gaming Monitor,65000
192847,Lavanya,16,Flatscreen TV,63999
192848,Pradhan,17,Samsung Galaxy S20,63000
192849,Harsha,5,Samsung Galaxy S9 Plus,55999
192850,Jaya Chandra,21,Google Phone,60000
192851,Venu,23,Bose SoundSport Headphones,51999
192852,Venki,15,27in 4K Gaming Monitor,55999
192853,Tarun,11,,69999
192854,Venki,15,Apple iPad 10.2-inch,50000
192855,Vijay,9,iPhone 7s,51999
192856,Vijay,9,Samsung Galaxy S9 Plus,51999
192857,Tarun,11,27in 4K Gaming Monitor,61000
192858,Mohan,24,LG ThinQ Refrigerator ,75999
192859,Vijay,9,ThinkPad Laptop,75000
192860,Pradhan,17,iPhone 7s,61000
192861,Hema,6,iPhone 9,60000
192862,Harsha,5,ThinkPad Laptop,55000
192863,Venu,23,iPhone 7s,55000
192864,Mallikarjun,13,iPhone 7s,60000
192865,Siddhu,18,iPhone 8,59000
192866,Shahid,20,iPhone 7s,59000
192867,Shafi,3,iPhone 9,65000
192868,Balaji,12,ThinkPad Laptop,75999
192869,Kedar,2,Apple iPad 10.2-inch,59000
192870,Neelima,19,,65999
192871,Madhurima,7,Bose SoundSport Headphones,69999
192872,Mohan,24,LG Mobile,75000
192873,Tarun,11,LG ThinQ Refrigerator ,55000
192874,Sumanth,22,iPhone 8,69999
192875,Balaji,12,Google Phone,75000
192876,Pradhan,17,27in 4K Gaming Monitor,75999
192877,Vijay,9,Samsung Galaxy S9 Plus,60000
192878,Jaya Chandra,21,iPhone 8,69000
192879,Mallikarjun,13,20in Monitor,55000
192880,Tarun,11,34in Ultrawide Monitor,50000
192881,Lavanya,16,iPhone 8,65000
192882,Shahid,20,LG Mobile,55000
192883,Partha,8,LG ThinQ Refrigerator ,75999
192884,Sumanth,22,27in 4K Gaming Monitor,60000
192885,Vijay,9,Samsung Galaxy S9 Plus,63000
192886,Neelima,19,Flatscreen TV,63999
192887,Hema,6,Google Phone,60000
192888,Jaya Chandra,21,ThinkPad Laptop,75000
192889,Jaya Chandra,21,20in Monitor,59000
192890,Sumanth,22,LG Mobile,55999
192891,Hema,6,iPhone 9,50000
192892,Karteek,4,20in Monitor,75000
